,City,Cloudiness,Humidity,Latitude,Temperature,Wind Speed
61,puerto ayora,20,100,-2.81,78.512,3.41
62,puerto ayora,92,100,-2.81,74.372,2.71
63,lamu,12,99,-2.81,84.09200000000001,4.91
64,saleaula,44,100,-2.81,80.582,5.56
65,utiroa,44,98,-2.81,83.822,6.06
66,tabiauea,80,100,-2.81,83.282,6.01
67,puerto ayora,68,100,-2.81,77.52199999999999,2.21
68,puerto ayora,88,100,-2.81,77.34200000000001,1.51
69,itacoatiara,8,98,-2.81,74.462,1.06
70,camocim,44,94,-2.81,76.082,3.36
71,harper,88,100,-2.81,81.122,5.66
72,takoradi,20,100,-2.81,80.762,5.66
73,baiao,56,96,-2.81,74.462,1.11
74,tabiauea,20,99,-2.81,83.19200000000001,6.91
75,santarem,75,100,-2.81,73.4,0.51
76,kieta,64,100,-2.81,84.18199999999999,3.91
77,saleaula,92,99,-2.81,81.122,5.56
78,pangkalanbuun,12,87,-2.81,87.062,4.56
79,omboue,88,100,-2.81,82.742,5.11
80,vaitupu,0,98,-2.81,82.922,5.11
81,puerto ayora,92,100,-2.81,73.562,3.06
82,coari,92,97,-2.81,74.282,1.21
83,senador jose porfirio,36,99,-2.81,74.102,1.41
84,puerto ayora,88,100,-2.81,75.72200000000001,1.06
85,atuona,76,99,-2.81,80.042,5.66
86,puerto ayora,76,100,-2.81,74.012,1.26
87,lorengau,24,100,-2.81,82.832,5.56
88,victoria,76,100,-2.81,82.47200000000001,1.91
89,puerto ayora,76,100,-2.81,78.512,5.21
90,rungata,92,100,-2.81,81.392,4.56
91,port-gentil,56,100,-2.81,82.292,5.26
92,iquitos,76,97,-2.81,74.19200000000001,1.21
93,kendari,8,99,-2.81,85.44200000000001,4.46
94,barawe,36,100,-2.81,83.282,3.56
95,natal,88,100,-2.81,79.322,3.86
96,puerto ayora,0,100,-2.81,78.422,3.01
97,kabare,8,71,-2.81,81.122,1.71
98,longido,44,78,-2.81,74.642,1.16
99,atuona,80,100,-2.81,77.34200000000001,5.31
100,jamestown,56,100,-23.97,74.282,4.71
101,jamestown,0,100,-23.97,72.662,5.11
102,jamestown,24,100,-23.97,71.672,6.16
103,carnarvon,0,99,-23.97,74.642,8.96
104,isangel,80,100,-23.97,77.25200000000001,14.61
105,carnarvon,64,100,-23.97,71.762,7.51
106,vaini,92,100,-23.97,77.072,13.11
107,carnarvon,0,100,-23.97,78.422,8.71
108,carnarvon,80,100,-23.97,73.382,8.46
109,jamestown,56,100,-23.97,74.282,4.71
110,pisco,92,100,-23.97,71.22200000000001,8.71
111,puerto ayora,32,100,-23.97,73.292,8.96
112,rikitea,80,100,-23.97,75.902,5.71
113,toliary,0,100,-23.97,80.762,6.31
114,alofi,92,100,-23.97,73.202,4.36
115,vao,48,100,-23.97,78.602,11.81
116,vao,64,100,-23.97,77.97200000000001,10.51
117,pisco,92,100,-23.97,71.22200000000001,8.41
118,pisco,92,100,-23.97,71.312,7.81
119,concepcion,0,92,-23.97,66.992,1.31
120,arraial do cabo,76,100,-23.97,79.59200000000001,9.06
121,jamestown,36,100,-23.97,73.112,5.51
122,jamestown,44,100,-23.97,72.662,6.11
123,ibaiti,92,95,-23.97,65.732,1.31
124,vao,76,100,-23.97,78.512,11.21
125,salto del guaira,32,97,-23.97,67.44200000000001,2.31
126,poum,92,99,-23.97,77.882,9.36
127,alofi,92,100,-23.97,74.732,5.41
128,carnarvon,0,100,-23.97,78.422,8.71
129,henties bay,80,100,-23.97,69.872,6.36
130,vaini,92,100,-23.97,76.712,12.46
131,rikitea,80,100,-23.97,76.172,5.66
132,san ramon de la nueva oran,0,88,-23.97,68.34200000000001,1.21
133,barbosa ferraz,75,94,-23.97,69.80000000000001,4.6
134,pisco,92,100,-23.97,71.582,7.91
135,rikitea,0,100,-23.97,79.50200000000001,2.41
136,rikitea,88,100,-23.97,75.72200000000001,6.31
137,blackwater,92,68,-23.97,78.332,4.36
138,saint-philippe,24,100,-23.97,80.402,4.26
139,puerto ayora,32,100,-23.97,74.012,7.71
140,isangel,68,100,-23.97,77.072,14.86
141,henties bay,80,100,-23.97,70.322,7.61
142,antofagasta,92,100,-23.97,66.18199999999999,4.21
143,yulara,32,12,-23.97,100.11200000000001,2.91
144,vangaindrano,48,90,-23.97,79.05199999999999,2.16
145,caravelas,76,100,-23.97,78.422,4.66
146,puerto ayora,68,100,-23.97,73.292,8.71
147,ellisras,12,67,-23.97,76.712,3.26
148,inhambane,0,100,-23.97,79.862,4.01
149,rikitea,68,100,-23.97,78.422,6.36
150,jamestown,0,100,-40.99,57.542,1.31
151,jamestown,0,100,-40.99,56.641999999999996,8.16
152,saldanha,68,99,-40.99,58.982,9.46
153,busselton,68,96,-40.99,57.452,10.21
154,otane,0,100,-40.99,63.842,3.96
155,busselton,64,95,-40.99,57.902,9.86
156,vaini,0,100,-40.99,63.392,5.51
157,busselton,68,95,-40.99,56.732,10.46
158,busselton,76,95,-40.99,57.272,9.66
159,jamestown,0,100,-40.99,57.542,1.31
160,ancud,92,92,-40.99,61.322,8.51
161,ancud,80,92,-40.99,62.762,10.96
162,rikitea,92,89,-40.99,62.581999999999994,14.91
163,margate,88,100,-40.99,54.572,2.31
164,vaini,20,100,-40.99,62.312,11.96
165,karamea,24,100,-40.99,63.572,5.66
166,wanaka,92,100,-40.99,63.482,6.16
167,ancud,92,93,-40.99,61.862,8.61
168,ancud,8,93,-40.99,62.312,9.86
169,necochea,0,99,-40.99,59.971999999999994,6.81
170,cidreira,20,100,-40.99,59.342,7.36
171,jamestown,0,100,-40.99,56.55200000000001,7.01
172,saldanha,20,100,-40.99,57.272,5.56
173,maldonado,0,100,-40.99,62.762,8.31
174,westport,48,100,-40.99,62.672,4.01
175,mar del plata,0,93,-40.99,59.971999999999994,7.76
176,te anau,88,92,-40.99,66.362,13.16
177,vaini,24,100,-40.99,62.94200000000001,11.76
178,busselton,68,95,-40.99,56.732,10.46
179,cape town,56,99,-40.99,57.452,6.56
180,vaini,0,100,-40.99,63.392,6.41
181,rikitea,88,90,-40.99,63.212,15.01
182,viedma,0,88,-40.99,53.582,3.21
183,mar del plata,0,100,-40.99,62.312,8.81
184,ancud,64,92,-40.99,61.862,10.76
185,mataura,76,100,-40.99,57.902,7.51
186,rikitea,92,90,-40.99,62.312,13.41
187,launceston,12,99,-40.99,64.652,9.71
188,taolanaro,56,100,-40.99,55.292,9.86
189,ancud,92,92,-40.99,62.402,9.81
190,otane,0,100,-40.99,64.562,6.01
191,cape town,44,95,-40.99,58.082,8.86
192,purranque,90,93,-40.99,46.4,3.1
193,esperance,64,96,-40.99,58.172,12.31
194,tsihombe,20,100,-40.99,52.322,6.11
195,arraial do cabo,80,100,-40.99,63.572,9.71
196,ancud,92,91,-40.99,62.94200000000001,12.56
197,port elizabeth,0,99,-40.99,60.062,10.91
198,umzimvubu,44,100,-40.99,54.30200000000001,2.51
199,rikitea,88,100,-40.99,58.532,8.56
200,jamestown,88,100,-51.58,40.712,8.01
201,cape town,64,98,-51.58,38.372,15.31
202,cape town,92,96,-51.58,39.362,15.01
203,albany,92,90,-51.58,42.782,9.76
204,dunedin,76,100,-51.58,50.162,13.66
205,busselton,24,96,-51.58,42.872,21.76
206,vaini,88,100,-51.58,50.522,14.96
207,albany,92,100,-51.58,39.542,5.76
208,busselton,92,85,-51.58,45.572,16.96
209,jamestown,88,100,-51.58,40.712,8.01
210,castro,92,98,-51.58,46.922,4.66
211,castro,88,100,-51.58,43.772,6.61
212,rikitea,80,98,-51.58,45.212,10.71
213,east london,76,100,-51.58,37.562,7.46
214,vaini,76,100,-51.58,52.322,10.96
215,kaitangata,56,92,-51.58,52.232,12.46
216,bluff,92,90,-51.58,52.592,15.06
217,castro,92,98,-51.58,46.922,4.81
218,castro,80,96,-51.58,46.472,6.91
219,ushuaia,0,70,-51.58,48.2,9.8
220,mar del plata,20,95,-51.58,42.422,12.61
221,cape town,88,99,-51.58,38.192,15.46
222,cape town,92,94,-51.58,40.352000000000004,13.81
223,mar del plata,48,93,-51.58,45.842,9.61
224,bluff,80,93,-51.58,51.692,13.66
225,rawson,8,93,-51.58,47.732,10.31
226,tuatapere,36,99,-51.58,49.442,11.66
227,vaini,44,100,-51.58,52.141999999999996,12.41
228,albany,92,100,-51.58,39.542,5.76
229,cape town,92,88,-51.58,41.702,14.26
230,vaini,80,100,-51.58,50.522,15.36
231,rikitea,64,100,-51.58,45.392,10.66
232,rio gallegos,92,92,-51.58,50.612,6.91
233,necochea,64,96,-51.58,46.832,10.61
234,castro,92,100,-51.58,45.482,4.31
235,mataura,12,100,-51.58,46.742,3.56
236,castro,68,100,-51.58,45.392,10.46
237,hobart,48,97,-51.58,47.641999999999996,12.01
238,taolanaro,44,100,-51.58,38.732,12.36
239,castro,92,100,-51.58,45.392,9.01
240,dunedin,76,99,-51.58,49.262,12.21
241,cape town,92,89,-51.58,41.882000000000005,9.76
242,punta arenas,80,96,-51.58,44.672,4.36
243,esperance,56,100,-51.58,40.982,9.51
244,tsihombe,76,100,-51.58,37.022,5.26
245,cidreira,92,100,-51.58,41.072,8.41
246,castro,80,100,-51.58,43.862,6.16
247,port elizabeth,92,92,-51.58,39.452,11.16
248,port alfred,44,100,-51.58,38.012,9.56
249,rikitea,88,100,-51.58,44.042,9.31
250,jamestown,56,100,-42.35,56.192,4.41
251,saldanha,56,100,-42.35,53.672,8.06
252,saldanha,92,95,-42.35,54.391999999999996,10.66
253,busselton,92,94,-42.35,55.742000000000004,12.56
254,waipawa,8,100,-42.35,60.692,2.56
255,busselton,92,92,-42.35,57.272,13.66
256,vaini,64,100,-42.35,61.412,7.61
257,busselton,92,95,-42.35,55.292,12.46
258,busselton,92,93,-42.35,56.192,13.11
259,jamestown,56,100,-42.35,56.192,4.41
260,ancud,92,90,-42.35,59.612,9.26
261,ancud,92,91,-42.35,60.242000000000004,12.11
262,rikitea,92,88,-42.35,60.782,13.81
263,margate,68,100,-42.35,49.172,1.76
264,vaini,48,100,-42.35,59.342,12.76
265,reefton,92,85,-42.35,48.182,0.81
266,te anau,92,100,-42.35,62.132,7.21
267,ancud,92,91,-42.35,59.702,9.71
268,ancud,92,90,-42.35,60.512,12.91
269,necochea,0,93,-42.35,55.471999999999994,3.41
270,rio grande,68,100,-42.35,56.822,5.21
271,jamestown,36,100,-42.35,54.30200000000001,8.01
272,saldanha,32,96,-42.35,56.462,8.81
273,mar del plata,8,100,-42.35,61.142,4.96
274,hokitika,80,100,-42.35,60.692,2.36
275,mar del plata,44,100,-42.35,62.402,4.01
276,te anau,88,92,-42.35,63.392,11.71
277,vaini,24,100,-42.35,60.512,12.46
278,busselton,92,95,-42.35,55.292,12.46
279,cape town,92,97,-42.35,52.412,8.26
280,vaini,76,100,-42.35,61.502,8.26
281,rikitea,92,87,-42.35,59.971999999999994,14.06
282,viedma,0,97,-42.35,62.402,5.06
283,mar del plata,32,100,-42.35,62.221999999999994,4.61
284,ancud,92,92,-42.35,60.962,14.01
285,mataura,0,100,-42.35,56.732,5.96
286,rikitea,92,89,-42.35,59.971999999999994,14.36
287,hobart,64,91,-42.35,64.922,6.41
288,taolanaro,88,100,-42.35,52.682,11.16
289,ancud,100,95,-42.35,57.452,9.16
290,waipawa,0,100,-42.35,60.422,1.61
291,cape town,92,93,-42.35,53.221999999999994,9.51
292,castro,0,100,-42.35,53.672,6.36
293,esperance,44,97,-42.35,56.012,13.36
294,tsihombe,8,100,-42.35,46.292,6.16
295,arraial do cabo,92,100,-42.35,61.682,14.21
296,ancud,88,90,-42.35,60.332,11.61
297,port elizabeth,0,100,-42.35,57.362,6.86
298,east london,80,100,-42.35,50.702,3.76
299,rikitea,20,100,-42.35,53.762,8.26
300,georgetown,64,100,-12.82,77.162,6.56
301,jamestown,24,100,-12.82,76.172,5.31
302,jamestown,0,100,-12.82,76.622,8.61
303,kawalu,88,100,-12.82,81.75200000000001,4.21
304,asau,76,100,-12.82,84.09200000000001,5.26
305,labuhan,88,99,-12.82,82.742,6.86
306,halalo,32,98,-12.82,85.44200000000001,3.31
307,boyolangu,44,100,-12.82,84.812,2.56
308,palabuhanratu,88,100,-12.82,82.02199999999999,5.26
309,georgetown,64,100,-12.82,77.162,6.56
310,sechura,64,100,-12.82,74.822,7.46
311,puerto ayora,36,100,-12.82,75.18199999999999,6.76
312,puerto ayora,64,100,-12.82,75.72200000000001,6.26
313,pemba,68,100,-12.82,83.372,4.01
314,samusu,92,98,-12.82,84.812,6.11
315,sola,92,100,-12.82,82.562,2.11
316,sola,92,100,-12.82,83.372,4.86
317,san cristobal,20,100,-12.82,74.822,7.71
318,puerto ayora,80,100,-12.82,75.452,7.31
319,vilhena,88,99,-12.82,70.952,0.61
320,vera cruz,92,93,-12.82,69.602,1.91
321,jamestown,56,100,-12.82,76.712,5.91
322,jamestown,44,100,-12.82,75.72200000000001,7.61
323,sao miguel do araguaia,24,93,-12.82,72.212,1.56
324,sola,92,100,-12.82,83.642,0.71
325,diamantino,20,98,-12.82,71.042,0.96
326,honiara,68,100,-12.82,81.212,4.36
327,samusu,48,98,-12.82,84.992,6.11
328,boyolangu,44,100,-12.82,84.812,2.56
329,namibe,20,100,-12.82,75.00200000000001,6.96
330,halalo,80,94,-12.82,86.612,3.51
331,puerto ayora,56,100,-12.82,75.72200000000001,6.16
332,rolim de moura,68,98,-12.82,73.202,1.16
333,sao miguel do araguaia,20,94,-12.82,71.582,0.96
334,puerto ayora,64,100,-12.82,75.72200000000001,6.96
335,atuona,36,100,-12.82,79.59200000000001,5.71
336,puerto ayora,80,100,-12.82,75.812,5.81
337,samarai,92,100,-12.82,80.672,12.36
338,cap malheureux,20,100,-12.82,83.372,3.01
339,puerto ayora,8,100,-12.82,75.362,6.26
340,asau,76,100,-12.82,83.822,5.61
341,namibe,48,100,-12.82,74.732,6.66
342,ayna,92,98,-12.82,60.242000000000004,0.76
343,kupang,0,100,-12.82,84.812,3.16
344,ambanja,12,100,-12.82,80.672,2.21
345,sao jose da coroa grande,76,100,-12.82,79.05199999999999,7.11
346,puerto ayora,68,100,-12.82,75.00200000000001,6.91
347,kalulushi,88,81,-12.82,72.662,3.11
348,lichinga,64,88,-12.82,75.18199999999999,1.41
349,rikitea,80,100,-12.82,78.422,7.11
350,hofn,76,100,59.32,44.042,5.66
351,stornoway,48,100,59.32,41.342,4.96
352,kirkwall,20,86,59.32,39.2,1.5
353,kirensk,68,51,59.32,21.433999999999997,4.56
354,beringovskiy,8,97,59.32,36.302,9.21
355,kodinsk,76,49,59.32,22.874,5.56
356,egvekinot,0,99,59.32,36.932,10.46
357,vitim,68,48,59.32,21.073999999999998,3.86
358,zheleznodorozhnyy,68,44,59.32,23.144,5.36
359,vestmannaeyjar,76,100,59.32,44.042,5.66
360,thompson,44,96,59.32,-5.026000000000003,5.36
361,thompson,24,49,59.32,-17.445999999999998,5.11
362,yellowknife,1,77,59.32,-0.3999999999999986,1.5
363,shuyskoye,36,100,59.32,29.804,2.11
364,nome,0,97,59.32,32.522,6.16
365,tilichiki,88,97,59.32,34.862,9.61
366,tilichiki,88,92,59.32,34.772,11.76
367,thompson,36,95,59.32,-4.666000000000004,5.71
368,thompson,36,79,59.32,-4.216000000000001,6.16
369,nuuk,92,100,59.32,35.762,10.41
370,nanortalik,88,98,59.32,39.272,12.76
371,stornoway,48,100,59.32,42.242000000000004,8.01
372,sandwick,56,100,59.32,39.992000000000004,5.26
373,paamiut,92,94,59.32,38.372,21.71
374,tilichiki,88,97,59.32,34.862,11.31
375,paamiut,88,97,59.32,37.652,19.46
376,palana,56,83,59.32,35.042,8.81
377,provideniya,0,99,59.32,33.512,8.06
378,vitim,68,48,59.32,21.073999999999998,3.86
379,tonstad,0,75,59.32,18.374,1.41
380,provideniya,0,98,59.32,36.752,10.51
381,yellowknife,1,77,59.32,-0.3999999999999986,1.5
382,iqaluit,80,100,59.32,4.7840000000000025,13.46
383,paamiut,92,97,59.32,38.642,21.91
384,thompson,20,76,59.32,-9.399999999999999,3.1
385,haines junction,0,100,59.32,39.092,1.56
386,grand centre,20,62,59.32,-7.996000000000002,2.21
387,arman,56,93,59.32,28.094,3.86
388,yayva,68,93,59.32,23.503999999999998,4.66
389,la ronge,1,70,59.32,-5.800000000000004,2.6
390,beringovskiy,76,98,59.32,36.122,9.36
391,visnes,0,59,59.32,34.592,3.6
392,iqaluit,8,32,59.32,-22.126000000000005,1.16
393,nizhniy kuranakh,88,69,59.32,24.134,4.46
394,bogovarovo,48,77,59.32,31.694,1.61
395,grindavik,24,100,59.32,43.772,5.96
396,thompson,20,48,59.32,-17.086,5.46
397,sillamae,12,87,59.32,33.872,3.41
398,imeni zhelyabova,24,95,59.32,33.332,1.86
399,fort nelson,0,62,59.32,3.6140000000000008,1.01
400,husavik,68,100,70.35,23.594,4.81
401,klaksvik,32,100,70.35,24.854,10.16
402,klaksvik,44,100,70.35,28.724,10.11
403,khatanga,64,80,70.35,11.984000000000002,4.81
404,leningradskiy,36,86,70.35,3.253999999999998,5.91
405,khatanga,68,74,70.35,-4.5760000000000005,3.06
406,mys shmidta,12,70,70.35,-0.9759999999999991,3.11
407,saskylakh,68,81,70.35,8.834,4.86
408,khatanga,68,88,70.35,5.234000000000002,5.21
409,husavik,68,100,70.35,23.594,4.81
410,thompson,24,87,70.35,-6.016000000000005,9.16
411,thompson,48,74,70.35,-16.546,6.06
412,yellowknife,8,45,70.35,-27.976,1.51
413,ostrovnoy,0,100,70.35,26.294,3.61
414,lavrentiya,12,75,70.35,3.6140000000000008,5.81
415,pevek,32,85,70.35,5.594000000000001,7.71
416,bilibino,48,76,70.35,3.1640000000000015,7.01
417,thompson,24,90,70.35,-6.646000000000001,10.51
418,thompson,56,85,70.35,-6.195999999999998,3.11
419,upernavik,68,87,70.35,21.704,2.46
420,tasiilaq,64,52,70.35,-16.726,4.56
421,klaksvik,24,100,70.35,23.774,9.86
422,raudeberg,48,100,70.35,30.254,9.56
423,ilulissat,44,54,70.35,2.6239999999999988,1.46
424,pevek,24,82,70.35,6.584,9.41
425,aasiaat,32,85,70.35,15.044,1.31
426,cherskiy,32,75,70.35,-2.5959999999999965,5.91
427,lavrentiya,0,76,70.35,0.6439999999999948,4.56
428,saskylakh,68,81,70.35,8.834,4.86
429,sorland,64,100,70.35,33.512,9.86
430,mys shmidta,8,71,70.35,-1.3359999999999985,2.96
431,yellowknife,8,44,70.35,-27.616,1.71
432,pangnirtung,88,97,70.35,28.364,6.91
433,ilulissat,24,80,70.35,7.393999999999998,1.51
434,thompson,12,80,70.35,-13.126000000000005,3.96
435,aklavik,90,92,70.35,21.2,15.9
436,yellowknife,8,38,70.35,-25.006000000000007,2.76
437,chokurdakh,0,82,70.35,-4.8459999999999965,3.81
438,amderma,0,100,70.35,5.773999999999997,3.81
439,yellowknife,20,54,70.35,-18.706000000000003,4.81
440,leningradskiy,32,83,70.35,4.064,7.01
441,sistranda,80,100,70.35,32.792,10.06
442,clyde river,48,69,70.35,-6.916000000000004,1.46
443,zhigansk,20,74,70.35,5.503999999999998,1.21
444,belushya guba,20,100,70.35,12.344000000000001,6.26
445,illoqqortoormiut,0,43,70.35,-15.556000000000004,0.86
446,thompson,48,89,70.35,-14.656000000000006,5.96
447,mehamn,64,81,70.35,25.753999999999998,1.46
448,tumannyy,64,100,70.35,32.972,2.86
449,norman wells,90,77,70.35,-0.3999999999999986,6.7
450,dingle,80,100,54.08,47.822,14.26
451,newry,92,80,54.08,39.182,3.6
452,nelson,40,95,54.08,37.418,3.1
453,khuzhir,64,45,54.08,16.844,3.56
454,beringovskiy,80,96,54.08,38.642,11.41
455,shumskiy,64,38,54.08,20.714,1.31
456,provideniya,68,94,54.08,38.912,13.31
457,kurumkan,56,55,54.08,8.744,3.16
458,osa,48,45,54.08,22.334,2.11
459,dingle,80,100,54.08,47.822,14.26
460,sioux lookout,90,84,54.08,1.3999999999999986,3.6
461,the pas,90,60,54.08,10.399999999999999,1.0
462,elk point,5,65,54.08,8.599999999999998,4.1
463,chuchkovo,92,99,54.08,36.032000000000004,2.76
464,bethel,92,94,54.08,40.712,13.31
465,nikolskoye,64,98,54.08,37.292,9.31
466,nikolskoye,92,94,54.08,36.572,12.46
467,sioux lookout,90,84,54.08,1.3999999999999986,3.6
468,sioux lookout,44,72,54.08,-2.686,3.91
469,saint-augustin,88,87,54.08,12.974,12.26
470,nanortalik,92,92,54.08,40.442,16.16
471,clones,64,88,54.08,38.372,3.71
472,bridlington,76,93,54.08,39.74,3.1
473,saint anthony,88,100,54.08,34.862,10.16
474,nikolskoye,24,96,54.08,37.292,9.76
475,saint anthony,92,100,54.08,26.384,22.01
476,milkovo,76,87,54.08,20.714,1.11
477,bethel,92,96,54.08,40.172,14.56
478,kurumkan,56,55,54.08,8.744,3.16
479,norden,8,100,54.08,36.752,6.26
480,provideniya,68,94,54.08,39.002,13.71
481,bonnyville,5,65,54.08,8.599999999999998,4.1
482,havre-saint-pierre,0,72,54.08,-7.0959999999999965,8.56
483,saint anthony,92,100,54.08,32.432,13.66
484,thompson,44,59,54.08,1.3640000000000008,3.56
485,sitka,0,100,54.08,40.802,6.46
486,meadow lake,0,71,54.08,5.503999999999998,5.26
487,vostok,0,99,54.08,23.594,8.16
488,inzer,80,66,54.08,29.983999999999998,3.66
489,prince albert,56,58,54.08,16.304,4.01
490,beringovskiy,80,96,54.08,38.462,11.06
491,harlingen,90,86,54.08,37.4,5.1
492,chapais,1,76,54.08,-9.399999999999999,3.1
493,taldan,80,55,54.08,49.172,5.01
494,chufarovo,92,99,54.08,36.302,4.81
495,grindavik,80,97,54.08,47.641999999999996,13.31
496,the pas,90,60,54.08,10.399999999999999,1.0
497,minsk,90,100,54.08,35.6,7.0
498,suvorov,76,98,54.08,34.682,3.31
499,vanderhoof,20,79,54.08,19.4,5.1
